number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments,setup_sec,solve_sec
206,Daniel BROWN,4x4 C65,88,196,109,8,732,160,600,0,2268,1196,13,no limit,2560000,|1|2|2|2|2|2|2|2|2|10|10|10|10|,0.0136,0.0048
207,Daniel BROWN,4x4 C66,68,144,77,8,588,196,316,0,2116,1156,1,no limit,1,|1|,0.0095,0
208,Daniel BROWN,4x4 C67,132,284,153,8,1736,424,1528,0,9724,6780,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0314,0.0041
209,Daniel BROWN,4x4 C68,188,396,209,8,3228,1108,2608,0,27224,20680,17,no limit,84934656,|1|2|2|2|2|3|3|3|3|4|4|4|4|4|4|4|4|,0.0765,0.022
210,Daniel BROWN,4x4 C69,160,360,201,8,2324,680,1780,0,12944,8828,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0425,0.0023
211,Daniel BROWN,4x4 C70,176,388,213,8,3304,1172,2324,0,26816,20272,5,no limit,16,|1|2|2|2|2|,0.0662,0.0005
212,Daniel BROWN,4x4 C71,132,284,153,8,1740,452,1412,0,9960,7024,9,no limit,65536,|1|2|2|2|2|8|8|8|8|,0.034,0.0061
213,Daniel BROWN,4x4 C72,128,280,153,8,1620,364,1492,0,8500,5828,5,no limit,256,|1|4|4|4|4|,0.029,0.0038
214,Daniel BROWN,4x4 C73,184,400,217,8,2740,732,2388,0,16716,11840,17,no limit,331776,|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|,0.053,0.0046
215,Daniel BROWN,4x4 C74,124,256,133,8,1212,296,1040,0,5604,3652,9,no limit,10000,|1|2|2|2|2|5|5|5|5|,0.0221,0.0032
216,Daniel BROWN,4x4 C75,140,304,165,8,1896,532,1536,0,11732,8388,5,no limit,16,|1|2|2|2|2|,0.0352,0.0007
217,Daniel BROWN,4x4 C76,108,236,129,8,1072,280,828,0,4264,2548,17,no limit,1048576,|1|2|2|2|2|2|2|2|2|2|2|2|2|4|4|4|4|,0.0213,0.0026
218,Daniel BROWN,4x4 C77,108,244,137,8,1324,472,828,0,6956,4512,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0239,0.0018
219,Daniel BROWN,4x4 C78,124,264,141,8,1528,420,1228,0,8656,6016,5,no limit,16,|1|2|2|2|2|,0.0282,0.0022
220,Daniel BROWN,4x4 C79,192,404,213,8,3040,960,2636,0,23336,17360,13,no limit,331776,|1|2|2|2|2|3|3|3|3|4|4|4|4|,0.0674,0.0174
221,Daniel BROWN,4x4 C80,140,304,165,8,1920,648,1288,0,12936,9388,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0397,0.0108
222,Daniel BROWN,4x4 C81,72,164,93,8,824,208,576,0,3956,2684,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0144,0.001
223,Daniel BROWN,4x4 C82,200,436,237,8,2888,944,2260,0,17760,12188,17,no limit,26873856,|1|2|2|2|2|3|3|3|3|3|3|3|3|4|4|4|4|,0.0534,0.0065
224,Daniel BROWN,4x4 C83,132,292,161,8,1984,556,1556,0,12592,9136,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0354,0.0037
225,Daniel BROWN,4x4 C84,116,244,129,8,1488,432,1216,0,8744,6076,5,no limit,256,|1|4|4|4|4|,0.0284,0.0004
226,Daniel BROWN,4x4 C85,240,528,289,8,4008,1376,3048,0,30084,22204,13,no limit,331776,|1|3|3|3|3|2|2|2|2|4|4|4|4|,0.0953,0.0195
227,Daniel BROWN,4x4 C86,116,240,125,8,1196,304,948,0,5544,3608,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0214,0.0016
228,Daniel BROWN,4x4 C87,96,204,109,8,1072,268,968,0,5820,4000,1,no limit,1,|1|,0.0195,0
229,Daniel BROWN,4x4 C88,172,364,193,8,2236,668,1788,0,14676,10608,5,no limit,14641,|1|11|11|11|11|,0.0516,0.0389
230,Daniel BROWN,4x4 C89,120,240,121,8,1916,764,1544,0,16984,12736,5,no limit,256,|1|4|4|4|4|,0.0446,0.0047
231,Daniel BROWN,4x4 C90,64,124,61,8,448,104,388,0,1552,852,5,no limit,16,|1|2|2|2|2|,0.0091,0.0001
232,Daniel BROWN,4x4 C91,132,300,169,8,1984,572,1568,0,11796,8296,9,no limit,10000,|1|2|2|2|2|5|5|5|5|,0.0361,0.0032
233,Daniel BROWN,4x4 C92,124,280,157,8,1660,556,1180,0,9968,6880,9,no limit,1296,|1|3|3|3|3|2|2|2|2|,0.0342,0.001
234,Daniel BROWN,4x4 C93,156,316,161,8,1708,404,1608,0,9004,6124,5,no limit,38416,|1|14|14|14|14|,0.0321,0.0105
235,Daniel BROWN,4x4 C94,136,300,165,8,1948,728,1176,0,12316,8560,9,no limit,26873856,|1|2|2|2|2|36|36|36|36|,0.0395,0.052
236,Daniel BROWN,4x4 C95,100,208,109,8,948,220,808,0,4056,2568,1,no limit,1,|1|,0.0164,0.0001
237,Daniel BROWN,4x4 C96,120,244,125,8,1816,524,1456,0,15420,12084,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.0389,0.0006
238,Daniel BROWN,4x4 C97,108,228,121,8,1564,276,1544,0,9504,7044,5,no limit,234256,|1|22|22|22|22|,0.0322,0.0233
239,Daniel BROWN,4x4 C98,144,304,161,8,1904,608,1412,0,12904,9404,5,no limit,16,|1|2|2|2|2|,0.0398,0.0099
240,Daniel BROWN,4x4 C99,80,168,89,8,620,152,472,0,1968,1032,5,no limit,16,|1|2|2|2|2|,0.0107,0.0003
241,Daniel BROWN,4x4 C100,40,72,33,8,100,20,52,0,112,16,5,no limit,16,|1|2|2|2|2|,0.0034,0
242,Daniel BROWN,4x4 C101,96,196,101,8,828,144,860,0,3172,1936,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0177,0.0004
243,Daniel BROWN,4x4 C102,128,276,149,8,1908,484,1676,0,13324,9996,5,no limit,65536,|1|16|16|16|16|,0.0476,0.0381
244,Daniel BROWN,4x4 C103,152,312,161,8,2180,752,1572,0,16264,12048,9,no limit,92236816,|1|7|7|7|7|14|14|14|14|,0.0505,0.0334
245,Daniel BROWN,4x4 C104,60,120,61,8,468,64,496,0,1684,1016,5,no limit,16,|1|2|2|2|2|,0.0097,0.0002
246,Daniel BROWN,4x4 C105,92,200,109,8,828,252,536,0,3084,1744,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.0153,0.0007
247,Daniel BROWN,4x4 C106,124,288,165,8,2344,1004,1060,0,20108,15356,9,no limit,160000,|1|4|4|4|4|5|5|5|5|,0.051,0.0124
248,Daniel BROWN,4x4 C107,132,288,157,8,1700,412,1476,0,8900,6068,5,no limit,16,|1|2|2|2|2|,0.0304,0.0024
249,Daniel BROWN,4x4 C108,108,244,137,8,1316,288,1152,0,6224,4148,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0236,0.0021
250,Daniel BROWN,4x4 C109,140,308,169,8,2196,688,1600,0,15440,11432,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0459,0.0132
251,Daniel BROWN,4x4 C110,104,228,125,16,1536,496,1088,0,9496,6648,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.034,0.0047
252,Daniel BROWN,4x4 C111,92,180,89,8,732,188,672,0,2800,1564,1,no limit,1,|1|,0.013,0
253,Daniel BROWN,4x4 C112,48,88,41,8,276,60,224,0,928,528,5,no limit,16,|1|2|2|2|2|,0.007,0.0001
254,Daniel BROWN,4x4 C113,84,172,89,8,620,196,348,0,2168,1196,1,no limit,1,|1|,0.0125,0
255,Daniel BROWN,4x4 C114,212,444,233,8,3132,976,2692,0,21804,15748,5,no limit,16,|1|2|2|2|2|,0.0638,0.0006
256,Daniel BROWN,4x4 C115,144,336,193,8,2800,892,1972,0,24296,19140,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0577,0.0014
257,Daniel BROWN,4x4 C116,88,180,93,8,712,152,644,0,2676,1604,13,no limit,5308416,|1|3|3|3|3|4|4|4|4|4|4|4|4|,0.0128,0.0024
258,Daniel BROWN,4x4 C117,88,188,101,8,808,256,500,0,3380,2044,5,no limit,2401,|1|7|7|7|7|,0.0149,0.0033
259,Daniel BROWN,4x4 C118,72,156,85,8,816,192,696,0,3844,2512,1,no limit,1,|1|,0.0145,0.0001
260,Daniel BROWN,4x4 C119,176,400,225,8,2972,740,2588,0,19764,14680,13,no limit,614656,|1|2|2|2|2|2|2|2|2|7|7|7|7|,0.0578,0.0061
261,Daniel BROWN,4x4 C120,128,284,157,8,1660,556,1176,0,9968,6884,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0321,0.001
262,Daniel BROWN,4x4 D1,40,88,49,8,408,160,144,0,1816,1120,5,no limit,6561,|1|9|9|9|9|,0.0071,0.0031
263,Daniel BROWN,4x4 D2,88,184,97,8,1392,616,736,0,11168,8208,5,no limit,256,|1|4|4|4|4|,0.0283,0.0048
264,Daniel BROWN,4x4 D3,80,176,97,8,992,316,740,0,5264,3468,1,no limit,1,|1|,0.0197,0
265,Daniel BROWN,4x4 D4,88,180,93,8,640,136,572,0,2136,1188,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0137,0.0003
266,Daniel BROWN,4x4 D5,116,236,121,8,844,164,792,0,2736,1504,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0165,0.0009
267,Daniel BROWN,4x4 D6,88,180,93,8,640,136,572,0,2136,1188,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0124,0.0002
268,Daniel BROWN,4x4 D7,80,160,81,8,632,160,440,0,2384,1444,5,no limit,28561,|1|13|13|13|13|,0.0113,0.0052
269,Daniel BROWN,4x4 D8,120,256,137,8,1180,276,1004,0,4892,3036,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.021,0.0009
