dataset,number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments
instagram,127,Kyohei KATSUTA,Unicorn,134,291,158,300,4915,779,6666,0,84164,74642,5,false,270,|1|5|3|3|6|
instagram,128,Satoshi KAMIYA,Sleipnir,83,194,112,300,1944,340,2000,9,20768,17566,3,false,4,|1|2|2|
instagram,129,Hideo KOMATSU,Shore Crab,223,514,292,300,14411,2978,18016,0,416478,387153,11,false,8294400,|1|2|2|3|3|5|5|8|8|12|12|
instagram,130,Michelle FUNG,Christmas Tree v2,71,136,66,300,655,125,722,0,3388,2276,4,false,48,|1|2|3|8|
instagram,131,Jason KU,Christmas Tree,329,736,408,300,15900,3368,17360,29,352192,322072,13,true,5904900000000,|1|3|3|3|3|3|3|3|3|3|3|10000|10000|
instagram,132,Shuki KATO,Giganotosaurus v4,832,1803,972,300,60650,15726,64930,0,2411596,2285906,28,false,886429710286848000,|1|2|2|2|2|2|2|2|2|3|3|2|2|3|3|2|2|2|5|13|2|2|2|2|16|16|2240|2240|
instagram,133,Instagram @txst_054,himeno,154,299,146,300,1628,131,1998,165,8694,6344,8,false,1248,|1|2|2|3|2|2|2|13|
instagram,134,Instagram @origamiaddict95,Scorpion,445,892,448,300,22010,8074,20399,0,618459,567031,5,false,565504,|1|8|8|94|94|
instagram,135,Xiao CHEN,Lazy Tiger,62,123,62,300,735,223,594,0,5162,3796,1,false,1,|1|
instagram,136,Kyohei KATSUTA,Owl,243,506,264,300,7854,1812,9168,0,134739,118995,3,false,16,|1|4|4|
instagram,137,Satoshi KAMIYA,Deinonychus,139,324,186,300,9441,2153,11164,0,269196,249794,3,false,9,|1|3|3|
instagram,138,Hideo KOMATSU,Cat,74,155,82,300,1385,366,1298,0,14360,11750,5,false,108,|1|3|3|4|3|
instagram,139,Kota IMAI,Red Headed Centipede,1212,2525,1314,300,95943,31599,106935,0,3442393,3213138,5,false,2890,|1|2|5|17|17|
instagram,140,Kota IMAI,Red Headed Centipede 40,733,1708,976,300,38186,8873,44797,0,723617,645488,19,false,54525952,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|16|52|
instagram,141,Kei MORISUE,kitsune,50,92,43,300,305,30,333,0,1078,673,5,false,16,|1|2|2|2|2|
instagram,142,Jason KU,Butterfly,405,838,434,300,34034,13220,35396,91,1594444,1507466,1,false,1,|1|
instagram,143,Shuki KATO,Asian Elephant,276,553,278,300,8031,1515,9522,0,124996,109950,4,true,2180000,|1|2|109|10000|
instagram,144,Xiao CHEN,Bull,90,205,116,300,2674,842,2196,0,38824,33480,3,false,16,|1|4|4|
instagram,145,Alessandro BEBER,Hexagonal Tessellation of Dodecagons #1,612,1401,790,300,3285,69,4176,585,8583,4641,1,false,1,|1|
instagram,146,Kyohei KATSUTA,Lazy Cat,118,241,124,300,2582,419,3088,0,29208,24654,6,false,700,|1|2|2|7|5|5|
instagram,147,Satoshi KAMIYA,Butterfly NS,137,310,174,300,5583,734,7865,0,96838,86381,4,false,126,|1|3|3|14|
instagram,148,Hideo KOMATSU,Wolf,120,289,170,300,4885,949,5516,0,77960,68918,8,false,460512,|1|2|2|2|39|41|6|6|
instagram,149,Kota IMAI,Chilean Stag Beetle,2213,5093,2881,300,402060,93253,495304,0,31132014,30270415,10,true,1310400000000,|1|2|2|2|2|91|3|3|10000|10000|
instagram,150,Kei MORISUE,Sailor Moon,99,207,109,300,1511,117,2119,0,9699,7268,8,false,384,|1|3|2|2|2|4|2|2|
instagram,151,Jason KU,Iso-Area Throwing Star 1,64,124,61,300,712,76,796,0,3876,2860,2,false,256,|1|256|
instagram,152,Jason KU,Iso-Area Throwing Star 2,101,208,108,300,1176,104,932,532,5564,4292,5,false,16,|1|2|2|2|2|
instagram,153,Jason KU,Iso-Area Throwing Star 3,72,148,77,300,800,80,948,0,3812,2620,1,false,1,|1|
instagram,154,Shuki KATO,Camel,274,581,308,300,9486,1634,12410,0,161556,143218,8,false,256,|1|2|2|2|2|2|2|4|
instagram,155,Drew HESKETT,Man Bat,651,1364,714,300,35615,12385,35847,0,1215027,1131968,7,false,14336,|1|2|2|2|2|14|64|
instagram,156,Xiao CHEN,Makima,75,169,95,300,1928,330,2307,0,21780,18310,6,false,64,|1|2|2|2|2|4|
instagram,157,Alessandro BEBER,Square Tessellation of Dodecagons #3,1380,3092,1713,300,6896,168,9100,976,16192,7772,1,false,1,|1|
instagram,158,Kyohei KATSUTA,Sparrow,90,207,118,300,2827,830,1840,473,41925,36912,5,false,16,|1|2|2|2|2|
instagram,159,Satoshi KAMIYA,Little Bird,128,285,158,300,3863,982,3864,0,53772,46300,3,false,4,|1|2|2|
instagram,160,Hideo KOMATSU,Little Bird,125,302,178,300,4713,1537,3600,0,74208,64776,4,false,12,|1|2|2|3|
instagram,161,Masashi TANAKA,star,1772,3752,1981,300,68972,7908,89904,0,1290844,1172300,57,false,420576045541321037910970202666827776,|1|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|12|12|12|12|
instagram,162,Kota IMAI,Carp,1464,3057,1594,300,56457,16694,60120,0,1047180,926272,40,true,2643879594364421485363200000,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|16|8|8|16|16|26|16|16|60|8|28|112|10000|
instagram,163,Kei MORISUE,Party Parrot,35,72,38,300,353,27,384,0,1667,1213,3,false,4,|1|2|2|
instagram,164,Jason KU,Pleats Exponential,196,468,273,300,5694,2550,2600,312,72254,59979,9,false,281474976710656,|1|64|64|64|64|64|64|64|64|
instagram,165,Shuki KATO,Guyver Unit III,780,1674,895,300,49904,13634,56763,0,1639306,1530612,13,false,44302336,|1|2|2|2|2|2|2|13|13|2|2|32|32|
instagram,166,Shuki KATO,Guyver Unit I,1018,2199,1182,300,59599,16856,62301,0,1691933,1565232,23,true,618475290624000000000000000000,|1|2|2|2|2|2|2|2|2|2|2|10|10|3|3|8|8|10000|10000|1024|1024|10000|10000|
instagram,167,Drew HESKETT,Desert Tessellation,298,625,328,300,1854,304,2187,0,4325,1570,1,false,1,|1|
instagram,168,Xiao CHEN,Mermaid,102,220,119,300,1795,352,1888,0,15174,12078,5,false,16,|1|2|2|2|2|
instagram,169,Alessandro BEBER,Hexagonal Tessellation of Dodecagons #2,1101,2337,1237,300,4698,96,6153,714,10101,4542,1,false,1,|1|
instagram,170,Satoshi KAMIYA,Bahamut,213,504,292,300,12838,2506,15682,102,323474,298314,1,false,1,|1|
instagram,171,Hideo KOMATSU,Macaque,102,225,124,300,2694,606,2774,0,31376,26390,4,false,1616,|1|2|8|101|
instagram,172,Masashi TANAKA,irt,668,1296,629,300,9048,1904,10348,0,65352,48752,1,false,1,|1|
instagram,173,Kota IMAI,Canabn,484,1035,552,300,23325,5261,29526,0,522402,473244,13,false,16384,|1|2|2|2|2|2|2|2|2|2|2|4|4|
instagram,174,Kei MORISUE,Steps,95,183,89,300,722,102,870,0,2883,1772,4,false,16,|1|2|2|4|
instagram,175,Shuki KATO,Dragonfly,573,1183,611,300,44310,16595,45404,0,1933850,1824192,9,false,2304,|1|2|2|2|2|3|3|4|4|
instagram,176,Drew HESKETT,Hephaetus,851,1684,834,300,42531,15231,41826,0,1751459,1654810,12,false,1627776,|1|2|3|2|2|2|3|3|3|2|2|314|
instagram,177,Brian CHAN,Mortal Kombat Emblem,319,660,342,300,16357,6135,14398,0,454533,416494,5,false,24,|1|2|2|2|3|
instagram,178,Xiao CHEN,Teddy Bear,63,143,81,300,949,160,990,0,5610,4096,2,false,2112,|1|2112|
instagram,179,Alessandro BEBER,Rotated 3.4.6.4,633,1305,673,300,2160,63,2628,414,3243,894,1,false,1,|1|
instagram,180,Satoshi KAMIYA,Pheonix v2.0,207,494,288,300,21000,5008,21882,0,923840,882488,5,false,5924356,|1|2|2|1217|1217|
instagram,181,Satoshi KAMIYA,Pheonix v3.0,413,896,484,300,62486,16081,74238,0,4924340,4787168,3,false,16,|1|4|4|
instagram,182,Satoshi KAMIYA,Pheonix v3.5,315,670,356,300,32174,9954,33638,0,1666164,1593694,6,false,11026208,|1|2|2|2|1174|1174|
instagram,183,Hideo KOMATSU,Panda,62,123,62,300,1043,203,1168,0,11292,9420,4,false,48,|1|12|2|2|
instagram,184,Masashi TANAKA,notitle,2032,4840,2809,300,74368,14408,86512,0,732288,595456,1,false,1,|1|
instagram,185,Kota IMAI,Jack Skellington,547,1190,644,300,39093,12847,39435,0,1341290,1252309,15,false,4161798144,|1|2|2|2|2|3|3|4|4|4|4|4|4|84|84|
instagram,186,Kei MORISUE,Sus,44,82,39,300,289,41,297,0,1043,631,2,false,2,|1|2|
instagram,187,Michelle FUNG,Heart in a House (Flat) v1,82,159,78,300,1069,283,1129,0,8827,6738,4,false,32,|1|2|4|4|
instagram,188,Boice WONG & Mark HANKE,Square Twist Samurai,1394,3068,1675,300,126574,37857,133609,0,6110616,5830114,22,false,25771848867627663360000,|1|2|2|2|2|2|2|2|4|5|2|4|8|16|32|105|4|20|20|6976|64|4096|
instagram,189,Shuki KATO,Evangelion Unit 01 2009,811,1750,940,300,61070,18806,63664,0,2393476,2257350,9,false,122645643264,|1|2|2|6|6|128|128|228|228|
instagram,190,Shuki KATO,Evangelion Unit 01 2013,1314,2843,1530,300,127565,32376,149955,0,6222159,5946775,18,true,8677600788480000,|1|2|2|2|2|2|2|2|2|2|3|2|2|37|37|403|10000|256|
instagram,191,Drew HESKETT,Arrowhead Tessellation,269,488,220,300,1053,0,1529,0,1554,376,9,false,256,|1|2|2|2|2|2|2|2|2|
instagram,192,Alessandro BEBER,Dodecagon^2,960,1980,1021,300,6900,288,9852,948,63852,53724,1,false,1,|1|
instagram,193,Brian CHAN,Spider Man,382,815,434,300,39793,10345,49166,0,2260016,2170604,1,false,1,|1|
instagram,194,Xiao CHEN,DaJi (妲己),199,424,226,300,8753,1396,11380,0,222384,205841,4,false,28,|1|2|2|7|
instagram,195,Satoshi KAMIYA,Butterfly TH,393,819,427,300,31548,10942,33522,0,1267028,1191020,2,false,8,|1|8|
instagram,196,Hideo KOMATSU,Giraffe,114,279,166,300,4255,989,4280,0,59300,51346,3,true,30000,|1|3|10000|
instagram,197,Kei MORISUE,Pray,63,126,64,300,697,72,894,0,4131,3037,1,false,1,|1|
instagram,198,Kota IMAI,Cetoniinae,791,1652,862,300,65040,18430,75288,0,2705706,2559290,5,false,18240,|1|2|2|2|2280|
instagram,199,Michelle FUNG,Classic Snowman v1,199,436,238,300,4132,846,4505,0,41943,34497,8,false,86016,|1|2|2|8|4|4|4|42|
instagram,200,Shuki KATO,Zoanoid Dragon v1,3876,7953,4077,300,378338,100558,481179,156,25593975,24725625,54,true,237205718273510866944000000,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|2|2|2040|2040|10000|
instagram,201,Shuki KATO,Zoanoid Dragon v2,5759,11925,6167,300,694808,175927,902255,0,55396591,53813402,56,true,205195258022068224000000000000,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|6|6|10000|10000|10000|
instagram,202,Alessandro BEBER,Hexagonal Tessellation of Dodecagons #3,1536,3285,1750,300,6528,162,8535,978,12996,5292,1,false,1,|1|
instagram,203,Mark HANKE,Archangel Michael,2610,5640,3031,300,324697,103157,346487,0,25024751,24275570,32,true,185903996605562880000,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|3|2|3|3|3|3|3|3|3|3|4|4|31|8|2|16|454|10000|
instagram,204,Bodo HAAG,Tiger,528,1077,550,300,22441,4454,29060,0,544175,498436,13,false,173015040,|1|2|2|2|2|2|3|2|2|10|88|32|16|
instagram,205,Xiao CHEN,Morgan,116,267,152,300,6424,1330,7246,0,165700,153413,5,false,396,|1|2|2|3|33|
instagram,206,Satoshi KAMIYA,Divine Boar,131,276,146,300,4305,638,5962,0,63744,55552,3,false,576,|1|24|24|
instagram,207,Hideo KOMATSU,Horse,93,206,114,300,2853,668,2770,0,42260,37000,5,false,672,|1|2|2|8|21|
instagram,208,Kei MORISUE,General Grievous,773,1706,933,300,71596,17480,86831,99,2938681,2784260,8,false,122880,|1|2|2|2|3|20|16|16|
instagram,209,Kota IMAI,Whip Spider,1085,2301,1217,300,191083,70515,198037,0,19072467,18596221,5,false,64,|1|2|2|4|4|
